oldid,genre_ids,id,popularity,title,revenue
3740,"[16, 10751]",49444,74.259,Kung Fu Panda 2,665692281
4905,"[16, 10751, 35, 12]",950,64.175,Ice Age: The Meltdown,660998756
7616,"[28, 12, 878]",141052,67.833,Justice League,657926987
113,"[28, 12, 14, 878]",791373,147.966,Zack Snyder's Justice League,657900000
743,"[12, 10751, 16, 28, 35]",177572,107.073,Big Hero 6,657827828
667,"[12, 14, 28]",22,95.166,Pirates of the Caribbean: The Curse of the Black Pearl,655011224
3904,"[14, 12, 28]",338952,36.618,Fantastic Beasts: The Crimes of Grindelwald,654855901
3930,"[28, 12, 878]",131634,63.839,The Hunger Games: Mockingjay - Part 2,653428261
5578,"[12, 28, 878]",1894,33.266,Star Wars: Episode II - Attack of the Clones,649398328
5490,"[28, 12, 14]",76338,77.116,Thor: The Dark World,644571402
2912,"[16, 35, 10751, 10402]",335797,78.528,Sing,634151679
2485,"[28, 12, 16, 10751, 35]",9502,76.449,Kung Fu Panda,631744560
830,"[28, 12, 16, 10751]",9806,75.806,The Incredibles,631442092
904,"[18, 12, 878]",286217,53.291,The Martian,630161890
6574,"[14, 28]",8960,79.03,Hancock,629443428
2309,"[28, 53, 80]",51497,12.202,Fast Five,626137675
5821,"[28, 35, 878]",41154,46.805,Men in Black 3,624026776
4153,"[12, 28, 878]",10138,160.266,Iron Man 2,623933331
643,"[16, 35, 10751, 14]",2062,111.352,Ratatouille,623726000
3536,"[28, 12, 878]",363088,56.718,Ant-Man and the Wasp,622674139
899,"[14, 28, 12, 16, 35, 10751]",82702,90.654,How to Train Your Dragon 2,621537500
605,"[28, 18, 878]",263115,67.047,Logan,619021436
5695,"[12, 28, 878]",330,1.809,The Lost World: Jurassic Park,618638999
1651,[18],615,63.909,The Passion of the Christ,611899420
3539,"[35, 10749]",11631,28.424,Mamma Mia!,609841637
1758,"[12, 18]",87827,39.627,Life of Pi,609016565
7930,"[28, 12, 878]",335988,178.4,Transformers: The Last Knight,605425157
5981,"[10751, 12, 16, 35]",10527,51.72,Madagascar: Escape 2 Africa,603900354
5875,"[12, 53, 878]",74,49.071,War of the Worlds,603873119
1293,"[12, 28, 53]",36557,43.466,Casino Royale,599045960
1090,"[16, 10751]",38757,102.668,Tangled,592461732
6717,"[12, 28, 53, 80]",10764,34.194,Quantum of Solace,589580482
2632,"[28, 12, 35, 878]",607,42.122,Men in Black,589390539
3791,"[16, 12, 10751, 14, 35, 28]",49519,61.478,The Croods,587204668
6025,[35],45243,72.872,The Hangover Part II,586764305
2556,"[18, 878, 53]",6479,58.8,I Am Legend,585410052
988,"[28, 878, 12]",1726,91.162,Iron Man,585174222
1017,"[878, 12, 28]",333339,77.426,Ready Player One,582890172
583,"[16, 35, 10751]",585,132.175,"Monsters, Inc.",579707738
2983,"[28, 53, 10752, 18]",460555,24.758,Operation Red Sea,579220560
5487,"[28, 12, 35, 10751, 14]",1593,35.875,Night at the Museum,574480841
471,"[12, 28, 878]",1892,27.994,Return of the Jedi,572700000
