,rent,bedrooms,bathrooms,size_sqft
64,0.1818181818,0.2,0.2,0.05494505495
65,0.2513368984,0.4,0.4,0.2589010989
66,0.1975935829,0.4,0.2,0.1353846154
67,0.111657754,0,0.2,0.1263736264
68,0.1167379679,0.2,0.2,0.1065934066
69,0.08556149733,0.4,0.2,0.2197802198
70,0.1764705882,0.2,0.2,0.1406593407
71,0.02112299465,0.2,0.2,0.1098901099
72,0.07486631016,0,0.2,0.06417582418
73,0.5588235294,0.8,0.6,0.6263736264
74,0.2021390374,0.2,0.2,0.1318681319
75,0.1919786096,0.2,0.2,0.1241758242
76,0.1336898396,0.2,0.2,0.1098901099
77,0.2085561497,0.6,0.4,0.3846153846
78,0.08021390374,0,0.2,0.04395604396
79,0.2513368984,0.4,0.4,0.2087912088
80,0.04278074866,0,0.2,0.03296703297
81,0.05347593583,0.2,0.2,0.05494505495
82,0.8262032086,0.6,0.6,0.5714285714
83,0.2727272727,0.4,0.2,0.198021978
84,0.2296791444,0.4,0.4,0.2021978022
85,0.08021390374,0,0.2,0.04747252747
86,0.1026203209,0,0.2,0.0621978022
87,0.385026738,0.4,0.4,0.2184615385
88,0.4652406417,0.4,0.4,0.2764835165
89,0.1323529412,0.2,0.2,0.07692307692
90,0.1631016043,0.2,0.2,0.1384615385
91,0.1441176471,0.2,0.2,0.1426373626
92,0.1975935829,0.4,0.4,0.1984615385
93,0.3152406417,1,0.4,0.4791208791
94,0.3368983957,0.4,0.4,0.2747252747
95,0.09064171123,0.2,0.2,0.02197802198
96,0.1705882353,0.2,0.2,0.08131868132
97,0.114973262,0.6,0.4,0.3406593407
98,0.1336898396,0.2,0.2,0.0989010989
99,0.7145454545,0.8,0.6,0.3257142857
100,0.06818181818,0,0.2,0.05274725275
101,0.1310160428,0.2,0.2,0.0989010989
102,0.2885026738,0.4,0.4,0.1720879121
103,0.2245989305,0.2,0.2,0.2010989011
104,0.2232620321,0.2,0.2,0.1854945055
105,0.1930481283,0.4,0.4,0.1501098901
106,0.2058823529,0.2,0.2,0.0978021978
107,0.1951871658,0.2,0.2,0.1901098901
108,0.2098930481,0.2,0.2,0.1142857143
109,0.6657754011,0.6,0.6,0.367032967
110,0.1711229947,0.2,0.2,0.110989011
111,0.04812834225,0.2,0.2,0.09340659341
112,0.1443850267,0.2,0.2,0.1296703297
113,0.1604278075,0,0.2,0.06791208791
114,0.07754010695,0.2,0.2,0.1054945055
115,0.2042780749,0.4,0.4,0.1654945055
116,0.2457219251,0.4,0.4,0.2087912088
117,0.5573796791,0.6,0.4,0.2835164835
118,0.1588235294,0.2,0.2,0.08351648352
119,0.09064171123,0,0.2,0.06549450549
120,0.04545454545,0.2,0.2,0.09604395604
121,0.1176470588,0.2,0.2,0.08813186813
122,0.04545454545,0.2,0.2,0.08791208791
123,0.05614973262,0,0.2,0.03296703297
124,0.1710695187,0.4,0.2,0.129010989
125,0.1344919786,0.2,0.2,0.09120879121
126,0.1016042781,0.4,0.2,0.1318681319
127,0.01737967914,0.2,0.2,0.06813186813
128,0.1176470588,0.2,0.2,0.1037362637
129,0.1173796791,0.2,0.2,0.09582417582
130,0.03877005348,0,0.2,0.02197802198
131,0.07486631016,0.6,0.2,0.1098901099
132,0.1203208556,0.2,0.2,0.1094505495
133,0.2513368984,0.2,0.2,0.2747252747
134,0.1844919786,0.4,0.4,0.1465934066
135,0.08021390374,0,0.2,0.05934065934
136,0.1978609626,0.2,0.2,0.1004395604
137,0.1176470588,0.4,0.4,0.1758241758
138,0.2941176471,0.4,0.4,0.2296703297
139,0.07887700535,0,0.2,0.05494505495
140,0.3529411765,0.4,0.4,0.2
141,0.1441176471,0.2,0.2,0.1208791209
142,0.4625668449,0.2,0.4,0.3956043956
143,0.1122994652,0.2,0.2,0.1208791209
144,0.1069518717,0.2,0.2,0.1043956044
145,0.5187165775,0.4,0.4,0.6043956044
146,0.1042780749,0.4,0.2,0.1318681319
147,0.2352941176,0.4,0.4,0.2035164835
148,0.3179679144,0.4,0.4,0.1824175824
149,0.2346524064,0.4,0.4,0.221978022
150,0.2700534759,0.2,0.4,0.2421978022
151,0.08021390374,0,0.2,0.0221978022
152,0.2374331551,0.2,0.2,0.1123076923
153,0.1176470588,0.4,0.4,0.1716483516
